,geometry,GCX_OID,Address,Legal Description,Legal Type,Folio,PID,Additional PIDs,Plan Number,Land Use Code,Zoning,Zoning Description,Garbage Zone,Approximate Site Area (m²),Street View
214,Geocortex.Gis.Geometries.Polygon,217,759 CITADEL DR,"LOT 34, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-034,017-532-078,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,747.796875,Click for Google StreetView
216,Geocortex.Gis.Geometries.Polygon,219,791 CITADEL DR,"LOT 61, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882, GROUP 1",LAND,286018-061,015-889-947,No,84882,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,570.26953125,Click for Google StreetView
217,Geocortex.Gis.Geometries.Polygon,220,2568 PALISADE CRES,"LOT 47, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP14897",LAND,286025-047,018-653-812,No,LMP14897,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,901.815673828125,Click for Google StreetView
221,Geocortex.Gis.Geometries.Polygon,224,835 MUSKET TERR,"LOT 15, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-015,015-889-467,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,596.590576171875,Click for Google StreetView
225,Geocortex.Gis.Geometries.Polygon,228,2629 FORTRESS DR,"LOT 4, DISTRICT LOT 168&344, NEW WEST DISTRICT, PLAN LMP5352",LAND,286024-004,017-850-410,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,658.306640625,Click for Google StreetView
226,Geocortex.Gis.Geometries.Polygon,229,922 FORT FRASER RISE,"LOT 3, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP19800",LAND,286027-003,019-042-213,No,LMP19800,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,589.625,Click for Google StreetView
227,Geocortex.Gis.Geometries.Polygon,230,787 CITADEL DR,"LOT 48, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329, GROUP 1",LAND,286023-048,017-532-213,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,601.091552734375,Click for Google StreetView
231,Geocortex.Gis.Geometries.Polygon,234,1144 SETTLERS CRT,"LOT 31, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870",LAND,286009-031,012-487-295,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,532.5537109375,Click for Google StreetView
235,Geocortex.Gis.Geometries.Polygon,238,1139 HOMESTEADER CRT,"LOT 54, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870, GROUP 1",LAND,286009-054,012-487-520,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,590.833984375,Click for Google StreetView
237,Geocortex.Gis.Geometries.Polygon,240,2671 FORTRESS DR,"LOT 27, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-027,017-532-001,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,540.260498046875,Click for Google StreetView
244,Geocortex.Gis.Geometries.Polygon,247,856 BAILEY CRT,"LOT 25, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP82243",LAND,286019-025,014-381-192,No,82243,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,404.3857421875,Click for Google StreetView
245,Geocortex.Gis.Geometries.Polygon,248,2666 PIONEER WAY,"LOT 103, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP81973",LAND,286009-103,014-380-536,No,81973,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,487.71142578125,Click for Google StreetView
251,Geocortex.Gis.Geometries.Polygon,254,1120 FLETCHER WAY,"LOT 18, DISTRICT LOT 169, NEW WEST DISTRICT, PLAN NWP85450, GROUP 1",LAND,226012-018,016-073-690,No,85450,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,452.825439453125,Click for Google StreetView
255,Geocortex.Gis.Geometries.Polygon,258,756 CAPITAL CRT,"LOT 53, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-053,017-532-264,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,1364.0,Click for Google StreetView
262,Geocortex.Gis.Geometries.Polygon,265,1127 CONFEDERATION DR,"LOT 47, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870, GROUP 1",LAND,286009-047,012-487-457,No,79870,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,695.73193359375,Click for Google StreetView
264,Geocortex.Gis.Geometries.Polygon,267,1092 COUTTS WAY,"LOT 9, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN NWP87548, GROUP 1, & DL 169",LAND,226000-309,016-849-345,No,87548,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,375.814453125,Click for Google StreetView
267,Geocortex.Gis.Geometries.Polygon,270,856 MUSKET TERR,"LOT 29, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882, GROUP 1",LAND,286018-029,015-889-602,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,481.50439453125,Click for Google StreetView
268,Geocortex.Gis.Geometries.Polygon,271,1129 COUTTS WAY,"LOT 12, DISTRICT LOT 169, NEW WEST DISTRICT, PLAN NWP85450",LAND,226012-012,016-073-631,No,85450,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,453.48193359375,Click for Google StreetView
270,Geocortex.Gis.Geometries.Polygon,273,2555 PALISADE CRES,"LOT 54, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84349",LAND,286017-054,015-674-347,No,84349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,707.831787109375,Click for Google StreetView
274,Geocortex.Gis.Geometries.Polygon,277,2659 FORTRESS DR,"LOT 18, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP5352",LAND,286024-018,017-850-673,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,618.2626953125,Click for Google StreetView
277,Geocortex.Gis.Geometries.Polygon,280,2647 FORTRESS DR,"LOT 12, DISTRICT LOT 168&344, NEW WEST DISTRICT, PLAN LMP5352",LAND,286024-012,017-850-592,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,587.684814453125,Click for Google StreetView
279,Geocortex.Gis.Geometries.Polygon,282,2676 FORTRESS DR,"LOT 11, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-011,017-531-845,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,617.677734375,Click for Google StreetView
283,Geocortex.Gis.Geometries.Polygon,286,2638 HOMESTEADER WAY,"LOT 94, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP81973",LAND,286009-094,014-380-358,No,81973,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,502.745849609375,Click for Google StreetView
285,Geocortex.Gis.Geometries.Polygon,288,977 FORT FRASER RISE,"LOT 5, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP31744",LAND,286028-005,023-665-203,No,LMP31744,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,588.56396484375,Click for Google StreetView
287,Geocortex.Gis.Geometries.Polygon,290,945 FORT FRASER RISE,"LOT 21, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP19800",LAND,286027-021,019-042-477,No,LMP19800,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,1573.0,Click for Google StreetView
288,Geocortex.Gis.Geometries.Polygon,291,2533 PALISADE CRES,"LOT 19, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP78118",LAND,286017-019,011-395-222,No,78118,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,688.268310546875,Click for Google StreetView
291,Geocortex.Gis.Geometries.Polygon,294,2635 FORTRESS CRT,"LOT 44, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-044,015-889-769,No,84882,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,533.40087890625,Click for Google StreetView
292,Geocortex.Gis.Geometries.Polygon,295,1151 CONFEDERATION DR,"LOT 41, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870, GROUP 1",LAND,286009-041,012-487-392,No,79870,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,532.91357421875,Click for Google StreetView
293,Geocortex.Gis.Geometries.Polygon,296,2691 FORTRESS DR,"LOT 17, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-017,017-531-900,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,554.05419921875,Click for Google StreetView
294,Geocortex.Gis.Geometries.Polygon,297,1112 COUTTS WAY,"LOT 6, DISTRICT LOT 169, NEW WEST DISTRICT, PLAN NWP87548",LAND,226000-306,016-849-281,No,87548,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,449.59521484375,Click for Google StreetView
295,Geocortex.Gis.Geometries.Polygon,298,2650 HOMESTEADER WAY,"LOT 91, DISTRICT LOT 341, NEW WEST DISTRICT, PLAN NWP81973",LAND,286009-091,014-380-315,No,81973,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,501.47412109375,Click for Google StreetView
300,Geocortex.Gis.Geometries.Polygon,303,2598 PALISADE CRES,"LOT 39, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84349",LAND,286017-039,015-674-134,No,84349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,718.020263671875,Click for Google StreetView
301,Geocortex.Gis.Geometries.Polygon,304,2708 ANVIL GREEN,"LOT 28, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP5352",LAND,286024-028,017-850-983,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,617.9296875,Click for Google StreetView
302,Geocortex.Gis.Geometries.Polygon,305,826 MUSKET TERR,"LOT 23, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-023,015-889-548,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,588.54345703125,Click for Google StreetView
305,Geocortex.Gis.Geometries.Polygon,308,928 FORT FRASER RISE,"LOT 4, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP19800, GROUP 1",LAND,286027-004,019-042-230,No,LMP19800,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,525.520263671875,Click for Google StreetView
306,Geocortex.Gis.Geometries.Polygon,309,1119 SETTLERS CRT,"LOT 26, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870",LAND,286009-026,012-487-244,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,607.829833984375,Click for Google StreetView
313,Geocortex.Gis.Geometries.Polygon,316,2630 FORTRESS DR,"LOT 5, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882, GROUP 1",LAND,286018-005,015-889-360,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,523.4638671875,Click for Google StreetView
315,Geocortex.Gis.Geometries.Polygon,318,951 FORT FRASER RISE,"LOT 20, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP19800",LAND,286027-020,019-042-451,No,LMP19800,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,1619.0,Click for Google StreetView
316,Geocortex.Gis.Geometries.Polygon,319,2713 ANVIL GREEN,"LOT 33, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP5352, GROUP 1",LAND,286024-033,017-851-033,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,560.714599609375,Click for Google StreetView
317,Geocortex.Gis.Geometries.Polygon,320,807 MUSKET TERR,"LOT 18, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-018,015-889-491,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,650.4619140625,Click for Google StreetView
318,Geocortex.Gis.Geometries.Polygon,321,1103 CONFEDERATION DR,"LOT 6, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP22293",LAND,285006-000,019-200-927,No,LMP22293,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,523.3916015625,Click for Google StreetView
319,Geocortex.Gis.Geometries.Polygon,322,2698 FORTRESS DR,"LOT 57, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-057,015-889-891,No,84882,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,612.123291015625,Click for Google StreetView
321,Geocortex.Gis.Geometries.Polygon,324,2626 FORTRESS DR,"LOT 7, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-007,015-889-386,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,500.504150390625,Click for Google StreetView
322,Geocortex.Gis.Geometries.Polygon,325,817 PALADIN TERR,"LOT 68, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84349",LAND,286017-068,015-674-631,No,84349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,893.1865234375,Click for Google StreetView
323,Geocortex.Gis.Geometries.Polygon,326,761 CITADEL DR,"LOT 35, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-035,017-532-086,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,731.033935546875,Click for Google StreetView
326,Geocortex.Gis.Geometries.Polygon,329,750 CANNON GREEN,"LOT 3, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-003,017-531-764,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,658.5029296875,Click for Google StreetView
327,Geocortex.Gis.Geometries.Polygon,330,830 CITADEL DR,"LOT 33, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84349",LAND,286017-033,015-673-936,No,84349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,685.7099609375,Click for Google StreetView
330,Geocortex.Gis.Geometries.Polygon,333,2631 FORTRESS DR,"LOT 5, DISTRICT LOT 168&344, NEW WEST DISTRICT, PLAN LMP5352",LAND,286024-005,017-850-436,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,661.852294921875,Click for Google StreetView
331,Geocortex.Gis.Geometries.Polygon,334,2616 HOMESTEADER WAY,"LOT 61, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870",LAND,286009-061,012-487-597,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,481.375732421875,Click for Google StreetView
333,Geocortex.Gis.Geometries.Polygon,336,2566 PALISADE CRES,"LOT 48, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP14897, GROUP 1",LAND,286025-048,018-653-821,No,LMP14897,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,923.416259765625,Click for Google StreetView
335,Geocortex.Gis.Geometries.Polygon,338,2514 PALISADE CRT,"LOT 10, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP78118",LAND,286017-010,011-395-125,No,78118,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,863.0478515625,Click for Google StreetView
338,Geocortex.Gis.Geometries.Polygon,341,2678 PIONEER WAY,"LOT 100, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP81973",LAND,286009-100,014-380-463,No,81973,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,525.358642578125,Click for Google StreetView
342,Geocortex.Gis.Geometries.Polygon,345,2620 FORTRESS DR,"LOT 10, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-010,015-889-416,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,488.79443359375,Click for Google StreetView
343,Geocortex.Gis.Geometries.Polygon,346,2603 FORTRESS DR,"LOT 3, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP22293",LAND,285003-000,019-200-897,No,LMP22293,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,515.98681640625,Click for Google StreetView
344,Geocortex.Gis.Geometries.Polygon,347,2685 PIONEER WAY,"LOT 80, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP81973",LAND,286009-080,014-380-170,No,81973,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,569.031982421875,Click for Google StreetView
348,Geocortex.Gis.Geometries.Polygon,351,868 MUSKET TERR,"LOT 31, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882, GROUP 1",LAND,286018-031,015-889-629,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,521.0615234375,Click for Google StreetView
350,Geocortex.Gis.Geometries.Polygon,353,1080 COUTTS WAY,"LOT 11, DISTRICT LOT 168&169, NEW WEST DISTRICT, PLAN NWP87548, GROUP 1",LAND,226000-311,016-849-370,No,87548,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,381.571533203125,Click for Google StreetView
353,Geocortex.Gis.Geometries.Polygon,356,781 CITADEL DR,"LOT 45, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-045,017-532-183,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,601.095458984375,Click for Google StreetView
357,Geocortex.Gis.Geometries.Polygon,360,1069 COUTTS WAY,"LOT 42, DISTRICT LOT 168&169, NEW WEST DISTRICT, PLAN NWP85450",LAND,226012-042,016-073-932,No,85450,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,569.8037109375,Click for Google StreetView
358,Geocortex.Gis.Geometries.Polygon,361,1128 SETTLERS CRT,"LOT 29, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870",LAND,286009-029,012-487-279,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,655.042236328125,Click for Google StreetView
361,Geocortex.Gis.Geometries.Polygon,364,894 CITADEL DR,"LOT 2, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP78118, GROUP 1",LAND,286017-002,011-395-044,No,78118,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,664.72900390625,Click for Google StreetView
363,Geocortex.Gis.Geometries.Polygon,367,1106 FLETCHER WAY,"LOT 15, DISTRICT LOT 169, NEW WEST DISTRICT, PLAN NWP85450",LAND,226012-015,016-073-665,No,85450,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,471.080322265625,Click for Google StreetView
367,Geocortex.Gis.Geometries.Polygon,371,956 FORT FRASER RISE,"LOT 11, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP19800",LAND,286027-011,019-042-353,No,LMP19800,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,525.466796875,Click for Google StreetView
368,Geocortex.Gis.Geometries.Polygon,372,1166 HOMESTEADER CRT,"LOT 51, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870",LAND,286009-051,012-487-490,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,513.54736328125,Click for Google StreetView
374,Geocortex.Gis.Geometries.Polygon,378,815 CITADEL DR,"LOT 39, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-039,015-889-718,No,84882,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,587.6162109375,Click for Google StreetView
377,Geocortex.Gis.Geometries.Polygon,381,2662 HOMESTEADER WAY,"LOT 88, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP81973",LAND,286009-088,014-380-277,No,81973,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,542.806396484375,Click for Google StreetView
378,Geocortex.Gis.Geometries.Polygon,382,2623 FORTRESS DR,"LOT 1, DISTRICT LOT 168&344, NEW WEST DISTRICT, PLAN LMP5352",LAND,286024-001,017-850-312,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,536.022216796875,Click for Google StreetView
382,Geocortex.Gis.Geometries.Polygon,386,753 CAPITAL CRT,"LOT 56, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-056,017-532-299,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,1367.0,Click for Google StreetView
384,Geocortex.Gis.Geometries.Polygon,388,742 CAPITAL CRT,"LOT 50, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-050,017-532-230,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,802.187744140625,Click for Google StreetView
389,Geocortex.Gis.Geometries.Polygon,393,2690 PIONEER WAY,"LOT 97, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP81973",LAND,286009-097,014-380-412,No,81973,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,605.028564453125,Click for Google StreetView
391,Geocortex.Gis.Geometries.Polygon,395,2653 FORTRESS DR,"LOT 15, DISTRICT LOT 168 & 344, NEW WEST DISTRICT, PLAN LMP5352, GROUP 1",LAND,286024-015,017-850-622,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,534.892578125,Click for Google StreetView
394,Geocortex.Gis.Geometries.Polygon,398,2688 FORTRESS DR,"LOT 14, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-014,017-531-870,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,651.801513671875,Click for Google StreetView
397,Geocortex.Gis.Geometries.Polygon,401,810 MUSKET TERR,"LOT 20, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882, GROUP 1",LAND,286018-020,015-889-513,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,493.716796875,Click for Google StreetView
399,Geocortex.Gis.Geometries.Polygon,403,767 CITADEL DR,"LOT 38, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329, GROUP 1",LAND,286023-038,017-532-116,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,604.02734375,Click for Google StreetView
401,Geocortex.Gis.Geometries.Polygon,405,807 CITADEL DR,"LOT 41, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882, GROUP 1",LAND,286018-041,015-889-734,No,84882,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,633.103515625,Click for Google StreetView
402,Geocortex.Gis.Geometries.Polygon,406,1139 CONFEDERATION DR,"LOT 44, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870",LAND,286009-044,012-487-422,No,79870,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,599.85888671875,Click for Google StreetView
403,Geocortex.Gis.Geometries.Polygon,407,983 FORT FRASER RISE,"LOT 8, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP31744",LAND,286028-008,023-665-238,No,LMP31744,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,823.64306640625,Click for Google StreetView
405,Geocortex.Gis.Geometries.Polygon,409,971 FORT FRASER RISE,"LOT 2, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP31744",LAND,286028-002,023-665-173,No,LMP31744,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,736.953857421875,Click for Google StreetView
406,Geocortex.Gis.Geometries.Polygon,410,2521 PALISADE CRES,"LOT 22, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP78118",LAND,286017-022,011-395-257,No,78118,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,703.127685546875,Click for Google StreetView
407,Geocortex.Gis.Geometries.Polygon,411,1143 SETTLERS CRT,"LOT 23, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870",LAND,286009-023,012-487-210,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,496.228271484375,Click for Google StreetView
409,Geocortex.Gis.Geometries.Polygon,413,2575 PALISADE CRES,"LOT 57, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84349",LAND,286017-057,015-674-436,No,84349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,679.707275390625,Click for Google StreetView
410,Geocortex.Gis.Geometries.Polygon,414,738 CANNON GREEN,"LOT 2, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-002,017-531-748,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,551.973876953125,Click for Google StreetView
412,Geocortex.Gis.Geometries.Polygon,416,2650 FORTRESS DR,"LOT 25, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP5352",LAND,286024-025,017-850-894,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,605.8544921875,Click for Google StreetView
413,Geocortex.Gis.Geometries.Polygon,417,840 MUSKET TERR,"LOT 26, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-026,015-889-572,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,505.15771484375,Click for Google StreetView
414,Geocortex.Gis.Geometries.Polygon,418,1128 COUTTS WAY,"LOT 3, DISTRICT LOT 169, NEW WEST DISTRICT, PLAN NWP87548, GROUP 1",LAND,226000-303,016-849-213,No,87548,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,449.861083984375,Click for Google StreetView
417,Geocortex.Gis.Geometries.Polygon,421,2659 FORTRESS CRT,"LOT 47, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-047,015-889-793,No,84882,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,533.398681640625,Click for Google StreetView
418,Geocortex.Gis.Geometries.Polygon,422,2586 PALISADE CRES,"LOT 42, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84349",LAND,286017-042,015-674-231,No,84349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,825.505126953125,Click for Google StreetView
420,Geocortex.Gis.Geometries.Polygon,424,2628 FORTRESS DR,"LOT 6, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-006,015-889-378,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,526.83349609375,Click for Google StreetView
421,Geocortex.Gis.Geometries.Polygon,425,839 PALADIN TERR,"LOT 65, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84349, GROUP 1",LAND,286017-065,015-674-568,No,84349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,664.7080078125,Click for Google StreetView
424,Geocortex.Gis.Geometries.Polygon,428,1117 FLETCHER WAY,"LOT 36, DISTRICT LOT 169, NEW WEST DISTRICT, PLAN NWP85450",LAND,226012-036,016-073-878,No,85450,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,491.085205078125,Click for Google StreetView
425,Geocortex.Gis.Geometries.Polygon,429,2701 ANVIL GREEN,"LOT 30, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP5352",LAND,286024-030,017-851-009,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,593.118896484375,Click for Google StreetView
426,Geocortex.Gis.Geometries.Polygon,430,2576 PALISADE CRES,"LOT 45, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP14897",LAND,286025-045,018-653-791,No,LMP14897,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,897.91357421875,Click for Google StreetView
